videoId,videoPublishedAt,position,snippet.title,snippet.description,snippet.thumbnails.standard.url,snippet.tags,contentDetails.duration,contentDetails.definition,contentDetails.caption,statistics.viewCount,statistics.likeCount,statistics.commentCount
xfBvi5cUns8,2022-12-15T21:59:07Z,0,"Ethio 360 Special program ''አዳነች አቤቤ በቀድሞ ባለስልጣን ተጋለጠች"" Thursday Dec 15, 2022","Ethio 360 Special program ''አዳነች አቤቤ በቀድሞ ባለስልጣን ተጋለጠች"" Thursday Dec 15, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/xfBvi5cUns8/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT40M22S,hd,false,18369,941,86
BMQkAtXnkwY,2022-12-15T21:51:29Z,1,"Ethio 360 Daily news Thursday Dec 15, 2022","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/BMQkAtXnkwY/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT9M36S,hd,false,2121,137,15
NACPF3w5K9M,2022-12-15T20:44:47Z,2,"Ethio 360 Zare Min Ale ""በደም የጨቀየው እልፍኝ ታዳሚዎች"" Thursday Dec 15, 2022","Ethio 360 Zare Min Ale ""በደም የጨቀየው እልፍኝ ታዳሚዎች"" Thursday Dec 15, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/NACPF3w5K9M/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT2H42M45S,hd,false,86719,3386,69
dORqnIUvvD0,2022-12-15T05:22:05Z,3,"Ethio 360 ከደህንነት ተቋሙ ያፈተለከው ጥብቅ መረጃ Wednesday Dec 14, 2022","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/dORqnIUvvD0/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT33M50S,hd,false,96312,2144,183
Z02pFWjcJSk,2022-12-14T20:32:20Z,4,"Ethio 360 Zare Min Ale ""መንግሥታዊ ዝርፊያ ከአዲስ አበባ እስከ ሳይፕረስ! Wednesday Dec 14, 2022","Ethio 360 Zare Min Ale ""መንግሥታዊ ዝርፊያ ከአዲስ አበባ እስከ ሳይፕረስ! Wednesday Dec 14, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/Z02pFWjcJSk/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT2H1M35S,hd,false,121181,3795,233
_CXiutdzphA,2022-12-14T17:17:04Z,5,"Ethio 360 Daily News Wednesday Dec 14, 2022","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/_CXiutdzphA/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT13M12S,hd,false,27872,839,46
blgE2A5LF6U,2022-12-14T04:00:13Z,6,"Ethio 360 የመጨረሻው ምዕራፍ Tuesday Dec 13, 2022","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/blgE2A5LF6U/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT32M57S,hd,false,79931,1718,133
uTJm02iLU2c,2022-12-13T22:00:40Z,7,"Ethio 360 Special Program ""የአዲስ አበባን ጉሮሮ ያነቀው ማነው ?"" Tuesday Dec 13, 2022","Ethio 360 Special Program ""የአዲስ አበባን ጉሮሮ ያነቀው ማነው ?"" Tuesday Dec 13, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/uTJm02iLU2c/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H56M54S,hd,false,48359,2150,79
77xao6Evu2Q,2022-12-13T19:40:01Z,8,"Ethio 360 Zare Min Ale ""የኦህዴድ ብልጽግና የነጻ እርምጃ ማስፈራሪያ!"" Tuesday Dec 13, 2022","Ethio 360 Zare Min Ale ""የኦህዴድ ብልጽግና የነጻ እርምጃ ማስፈራሪያ!"" Tuesday Dec 13, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/77xao6Evu2Q/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H27M39S,hd,false,139954,4309,218
MDqwpjny4XY,2022-12-13T17:36:13Z,9,"Ethio 360 ጠቅላይ ሚኒስትሩ በዋሽንግተን ዲሲ የገጠማቸው የተቃውሞ ሰልፍ Tuesday Dec 13, 2022","Ethio 360 ጠቅላይ ሚኒስትሩ በዋሽንግተን ዲሲ የገጠማቸው የተቃውሞ ሰልፍ Tuesday Dec 13, 2022
Mereja Tv;https://youtu.be/3HGQG8ShXiE
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/MDqwpjny4XY/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT46M36S,hd,false,134094,4051,425
